"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day","cell_ID"
"Serengeti","Sedeco","Bonchugu","Bonchugu",701587.154688879,9793424.14546357,10901,10902,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2017-04-28,"0","true",2017-05-27,"0",30,"Day",2,"Day","Killed","Buried","","",TRUE,FALSE,185,5626,2095
"Serengeti","Sedeco","Bonchugu","Bonchugu",700990.279500409,9793784.85556709,10901,10903,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2017-04-28,"0","true",2017-05-01,"0",3,"Day",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,185,5600,2094
"Serengeti","Majimoto","Iseresere","Iseresere",649352.689541608,9822100.59480094,0,10922,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-12-07,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,180,5455,393
"Serengeti","Majimoto","Iseresere","Iseresere",648921.826120198,9823778.49770062,10922,10923,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2016-12-07,"0","true",2016-12-09,"0",2,"Day",2,"Day","Killed","Buried","","",TRUE,FALSE,180,5457,350
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",654449.300929941,9821956.52639018,0,10906,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-04-08,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,184,5577,398
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",655150.067178806,9822083.91349779,10906,10907,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2017-04-08,"0","true",2017-04-11,"0",3,"Day",4,"Day","Killed","Buried","","",TRUE,FALSE,184,5580,398
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",655112.900635977,9819079.19140252,0,10909,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-11-15,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,179,5433,536
"Serengeti","Nyambureti","Maburi","Maburi",651566.613576129,9799703.27957965,0,10917,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-10-06,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,178,5393,1680
"Serengeti","Nyambureti","Maburi","Maburi",652665.720059709,9801997.56538997,0,10918,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-11-28,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,179,5446,1490
"Serengeti","Nyamatare","Kemgesi","Kemgesi",654464.725709781,9803848.33789876,0,10919,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-10-12,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,178,5399,1428
"Serengeti","Nyamatare","Kemgesi","Kemgesi",654477.771607954,9802122.71715122,10919,10920,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2016-10-12,"0","true",2016-11-02,"0",21,"Day",2,"Day","Killed","Buried","","",TRUE,FALSE,179,5420,1492
"Serengeti","Nyamoko","Kerenero","Kerenero",681079.775269006,9803760.0508328,0,10926,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-03-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,111,3371,1454
"Serengeti","Nyamoko","Kerenero","Kerenero",680721.884905509,9802930.32103859,0,10927,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2007-08-02,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,68,2040,1454
"Serengeti","Nyamoko","Kerenero","Kerenero",680987.956322026,9803344.49035536,0,10928,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2011-07-27,"0",NA,"",3,"Day","Died","Buried","","",TRUE,FALSE,115,3495,1454
