counts,regions,group,hemisphere,ID,global_id,region_idx,hemisphere_idx,group_idx,animal_idx
710,PVi,het,R,2,2 het R,31,2,1,6
1522,ARH,het,R,2,2 het R,2,2,1,6
678,DMH,het,R,2,2 het R,4,2,1,6
1152,PVp,het,R,2,2 het R,32,2,1,6
21,SBPV,het,R,2,2 het R,35,2,1,6
0,SCH,het,R,2,2 het R,36,2,1,6
35,AHN,het,R,2,2 het R,1,2,1,6
4,LM,het,R,2,2 het R,12,2,1,6
1,MMme,het,R,2,2 het R,19,2,1,6
10,SUM,het,R,2,2 het R,40,2,1,6
541,TMd,het,R,2,2 het R,41,2,1,6
120,TMv,het,R,2,2 het R,42,2,1,6
0,MPN,het,R,2,2 het R,20,2,1,6
34,PMd,het,R,2,2 het R,22,2,1,6
245,PMv,het,R,2,2 het R,23,2,1,6
3,PVHd,het,R,2,2 het R,30,2,1,6
4455,VMH,het,R,2,2 het R,46,2,1,6
290,PH,het,R,2,2 het R,21,2,1,6
88,LHA,het,R,2,2 het R,11,2,1,6
115,RCH,het,R,2,2 het R,33,2,1,6
1684,TU,het,R,2,2 het R,43,2,1,6
188,ZI,het,R,2,2 het R,50,2,1,6
68,FF,het,R,2,2 het R,5,2,1,6
0,VAL,het,L,3,3 het L,44,1,1,9
8,VM,het,L,3,3 het L,45,1,1,9
76,VPL,het,L,3,3 het L,47,1,1,9
264,VPM,het,L,3,3 het L,48,1,1,9
11,VPMpc,het,L,3,3 het L,49,1,1,9
1,SPFm,het,L,3,3 het L,38,1,1,9
3,SPFp,het,L,3,3 het L,39,1,1,9
5,PP,het,L,3,3 het L,26,1,1,9
11,MGd,het,L,3,3 het L,15,1,1,9
46,MGv,het,L,3,3 het L,17,1,1,9
68,MGm,het,L,3,3 het L,16,1,1,9
1357,LGd,het,L,3,3 het L,8,1,1,9
608,LP,het,L,3,3 het L,13,1,1,9
94,PO,het,L,3,3 het L,24,1,1,9
96,POL,het,L,3,3 het L,25,1,1,9
12,SGN,het,L,3,3 het L,37,1,1,9
5,LD,het,L,3,3 het L,7,1,1,9
15,MD,het,L,3,3 het L,14,1,1,9
5,PR,het,L,3,3 het L,27,1,1,9
14,CL,het,L,3,3 het L,3,1,1,9
1,RT,het,L,3,3 het L,34,1,1,9
173,IGL,het,L,3,3 het L,6,1,1,9
643,LGv,het,L,3,3 het L,9,1,1,9
2,MH,het,L,3,3 het L,18,1,1,9
3,LH,het,L,3,3 het L,10,1,1,9
6,PVH,het,L,3,3 het L,29,1,1,9
0,PVa,het,L,3,3 het L,28,1,1,9
131,PVi,het,L,3,3 het L,31,1,1,9
1726,ARH,het,L,3,3 het L,2,1,1,9
568,DMH,het,L,3,3 het L,4,1,1,9
628,PVp,het,L,3,3 het L,32,1,1,9
11,SBPV,het,L,3,3 het L,35,1,1,9
2,SCH,het,L,3,3 het L,36,1,1,9
95,AHN,het,L,3,3 het L,1,1,1,9
1,LM,het,L,3,3 het L,12,1,1,9
0,MMme,het,L,3,3 het L,19,1,1,9
2,SUM,het,L,3,3 het L,40,1,1,9
0,TMd,het,L,3,3 het L,41,1,1,9
4,TMv,het,L,3,3 het L,42,1,1,9
896,MPN,het,L,3,3 het L,20,1,1,9
0,PMd,het,L,3,3 het L,22,1,1,9
38,PMv,het,L,3,3 het L,23,1,1,9
4,PVHd,het,L,3,3 het L,30,1,1,9
1618,VMH,het,L,3,3 het L,46,1,1,9
58,PH,het,L,3,3 het L,21,1,1,9
