subject,race0W1B,object0NG1G,conditionRaceObj,conditionRace,rt,resp0DS1S,diffusionRT,ybin,lowerLim,upperLim
3,0,0,1,1,NaN,NaN,NaN,2,-0.851,0.851
3,0,1,3,1,479,1,0.479,1,-0.851,0.851
3,0,1,3,1,499,1,0.499,1,-0.851,0.851
3,0,0,1,1,599,1,0.599,1,-0.851,0.851
3,0,0,1,1,725,0,-0.725,1,-0.851,0.851
3,0,1,3,1,740,1,0.74,1,-0.851,0.851
3,0,0,1,1,715,0,-0.715,1,-0.851,0.851
3,0,0,1,1,740,0,-0.74,1,-0.851,0.851
3,0,0,1,1,NaN,NaN,NaN,0,-0.851,0.851
3,0,0,1,1,666,0,-0.666,1,-0.851,0.851
4,1,1,4,2,494,1,0.494,1,-0.851,0.851
4,0,0,1,1,530,0,-0.53,1,-0.851,0.851
4,1,0,2,2,534,1,0.534,1,-0.851,0.851
4,0,0,1,1,499,0,-0.499,1,-0.851,0.851
4,0,1,3,1,338,1,0.338,1,-0.851,0.851
4,0,1,3,1,498,1,0.498,1,-0.851,0.851
4,1,1,4,2,487,1,0.487,1,-0.851,0.851
4,1,0,2,2,646,0,-0.646,1,-0.851,0.851
4,0,0,1,1,530,0,-0.53,1,-0.851,0.851
4,1,0,2,2,552,0,-0.552,1,-0.851,0.851
4,1,0,2,2,813,0,-0.813,1,-0.851,0.851
4,1,0,2,2,622,0,-0.622,1,-0.851,0.851
4,1,1,4,2,485,1,0.485,1,-0.851,0.851
4,1,1,4,2,562,1,0.562,1,-0.851,0.851
4,1,1,4,2,415,1,0.415,1,-0.851,0.851
4,1,1,4,2,429,1,0.429,1,-0.851,0.851
4,1,1,4,2,589,1,0.589,1,-0.851,0.851
4,1,1,4,2,540,1,0.54,1,-0.851,0.851
4,0,1,3,1,468,1,0.468,1,-0.851,0.851
4,0,1,3,1,360,1,0.36,1,-0.851,0.851
4,0,0,1,1,523,1,0.523,1,-0.851,0.851
4,0,1,3,1,497,1,0.497,1,-0.851,0.851
4,0,0,1,1,525,0,-0.525,1,-0.851,0.851
4,0,1,3,1,665,1,0.665,1,-0.851,0.851
4,0,1,3,1,500,1,0.5,1,-0.851,0.851
4,0,1,3,1,555,1,0.555,1,-0.851,0.851
4,1,0,2,2,705,0,-0.705,1,-0.851,0.851
4,0,0,1,1,625,0,-0.625,1,-0.851,0.851
4,1,0,2,2,475,0,-0.475,1,-0.851,0.851
4,0,0,1,1,513,0,-0.513,1,-0.851,0.851
4,0,0,1,1,688,0,-0.688,1,-0.851,0.851
4,0,0,1,1,642,0,-0.642,1,-0.851,0.851
4,0,1,3,1,474,1,0.474,1,-0.851,0.851
4,1,0,2,2,488,0,-0.488,1,-0.851,0.851
4,0,0,1,1,561,0,-0.561,1,-0.851,0.851
4,0,1,3,1,718,1,0.718,1,-0.851,0.851
4,0,0,1,1,651,0,-0.651,1,-0.851,0.851
4,0,0,1,1,483,0,-0.483,1,-0.851,0.851
4,1,0,2,2,456,0,-0.456,1,-0.851,0.851
4,0,1,3,1,420,1,0.42,1,-0.851,0.851
4,0,1,3,1,555,1,0.555,1,-0.851,0.851
4,1,1,4,2,839,1,0.839,1,-0.851,0.851
4,1,1,4,2,690,1,0.69,1,-0.851,0.851
4,1,1,4,2,425,1,0.425,1,-0.851,0.851
4,0,0,1,1,596,0,-0.596,1,-0.851,0.851
4,0,1,3,1,545,1,0.545,1,-0.851,0.851
4,0,0,1,1,575,0,-0.575,1,-0.851,0.851
4,0,1,3,1,491,1,0.491,1,-0.851,0.851
4,1,1,4,2,445,1,0.445,1,-0.851,0.851
4,1,0,2,2,599,0,-0.599,1,-0.851,0.851
4,0,0,1,1,NaN,NaN,NaN,2,-0.851,0.851
4,0,0,1,1,678,0,-0.678,1,-0.851,0.851
4,0,1,3,1,585,1,0.585,1,-0.851,0.851
4,0,0,1,1,747,0,-0.747,1,-0.851,0.851
4,0,0,1,1,748,0,-0.748,1,-0.851,0.851
4,0,1,3,1,543,1,0.543,1,-0.851,0.851
4,0,0,1,1,674,0,-0.674,1,-0.851,0.851
4,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
4,0,1,3,1,657,1,0.657,1,-0.851,0.851
4,0,1,3,1,536,1,0.536,1,-0.851,0.851
