,index,Brain,BrainRegion,BregmanRegion,Cohort,Date,VOID_PERCENTAGE,Cfos_Counts,counts_per_area,rat_ID,group,surgery,stimulus
105,132,1,PRH,n5.30,1,24-11-17,12.220581398528552,253.0,457.64125179345996,1,Lesion_Novel,Lesion,Novel
106,133,1,TE2,n5.30,1,24-11-17,10.059616594196985,198.0,349.54878699367873,1,Lesion_Novel,Lesion,Novel
107,134,1,V2C,n5.30,1,24-11-17,5.4469877211692985,189.0,317.3830860662522,1,Lesion_Novel,Lesion,Novel
108,135,1,DSUB,n5.30,1,24-11-17,3.7621864388213204,133.0,219.43365500502958,1,Lesion_Novel,Lesion,Novel
109,139,1,V2C,n5.30,1,24-11-17,2.737000474246242,99.0,161.61619564755654,1,Lesion_Novel,Lesion,Novel
110,140,1,PRH,n5.30,1,24-11-17,5.524926846610399,65.0,109.24296110431231,1,Lesion_Novel,Lesion,Novel
111,141,1,TE2,n5.30,1,24-11-17,4.816911422867588,164.0,273.5781438878554,1,Lesion_Novel,Lesion,Novel
112,142,1,PRH,n5.30,1,24-11-17,3.3009174211906376,238.0,390.79765312973694,1,Lesion_Novel,Lesion,Novel
113,143,1,VSUB,n5.30,1,24-11-17,2.302002191344731,210.0,341.29582440016577,1,Lesion_Novel,Lesion,Novel
114,144,1,PSTC,n8.30,1,24-11-17,10.11316496682994,122.0,215.50685319409376,1,Lesion_Novel,Lesion,Novel
115,145,1,VDG,n4.80,1,24-11-17,5.15184056604291,163.0,272.8701568026477,1,Lesion_Novel,Lesion,Novel
116,146,1,VCA3,n4.80,1,24-11-17,2.624162573794354,268.0,436.9994920106314,1,Lesion_Novel,Lesion,Novel
117,147,1,VCA1,n4.80,1,24-11-17,11.84934232402477,111.0,199.93773397032325,1,Lesion_Novel,Lesion,Novel
118,149,1,PRH,n5.30,1,24-11-17,15.908897858080417,458.0,864.7942176546195,1,Lesion_Novel,Lesion,Novel
119,150,1,TE2,n5.30,1,24-11-17,22.70374541379319,492.0,1010.6574830247447,1,Lesion_Novel,Lesion,Novel
