Subject,Context1Safe2Danger,Race012B,Object0NG1G,RaceObject,Race1W2B,RT,Resp0NS1Sh,DiffusionRT,ybin,lower,upper
5,1,0,1,3,1,462,1,0.462,1,-0.631,0.631
5,1,1,0,2,2,420,0,-0.42,1,-0.631,0.631
5,1,1,1,4,2,420,0,-0.42,1,-0.631,0.631
5,1,1,1,4,2,615,1,0.615,1,-0.631,0.631
5,1,1,1,4,2,467,1,0.467,1,-0.631,0.631
5,1,0,0,1,1,617,0,-0.617,1,-0.631,0.631
5,1,1,0,2,2,586,0,-0.586,1,-0.631,0.631
5,1,1,1,4,2,479,1,0.479,1,-0.631,0.631
5,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
5,1,1,1,4,2,572,1,0.572,1,-0.631,0.631
5,1,0,1,3,1,486,1,0.486,1,-0.631,0.631
5,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
5,1,0,1,3,1,390,1,0.39,1,-0.631,0.631
5,1,1,0,2,2,609,0,-0.609,1,-0.631,0.631
5,1,1,0,2,2,576,0,-0.576,1,-0.631,0.631
5,1,1,0,2,2,506,0,-0.506,1,-0.631,0.631
5,1,1,1,4,2,520,1,0.52,1,-0.631,0.631
5,1,1,1,4,2,570,1,0.57,1,-0.631,0.631
5,1,1,0,2,2,556,0,-0.556,1,-0.631,0.631
5,1,0,0,1,1,527,0,-0.527,1,-0.631,0.631
5,1,1,0,2,2,572,0,-0.572,1,-0.631,0.631
5,1,0,0,1,1,542,0,-0.542,1,-0.631,0.631
5,1,0,0,1,1,424,0,-0.424,1,-0.631,0.631
5,1,1,1,4,2,569,1,0.569,1,-0.631,0.631
5,1,1,0,2,2,535,0,-0.535,1,-0.631,0.631
5,1,1,1,4,2,550,1,0.55,1,-0.631,0.631
5,1,0,1,3,1,603,1,0.603,1,-0.631,0.631
5,1,1,1,4,2,572,0,-0.572,1,-0.631,0.631
5,1,0,0,1,1,586,0,-0.586,1,-0.631,0.631
5,1,0,1,3,1,446,1,0.446,1,-0.631,0.631
5,1,0,1,3,1,456,1,0.456,1,-0.631,0.631
5,1,0,0,1,1,483,0,-0.483,1,-0.631,0.631
