rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,1.75,2.12,1,0,0.637315
1,0.82,2.12,1,0,0.592639
1,2.91,2.12,0,1,0.670852
1,2.12,2.12,1,0,0.552027
1,1.32,2.12,1,0,0.55456
1,0,2.12,1,0,0.611229
1,3.41,2.12,0,1,0.582116
1,1.32,2.12,1,0,0.575659
1,2.91,2.12,0,1,0.643319
1,0.25,2.12,1,0,0.512565
1,2.12,2.48,1,0,1.044619
1,2.91,2.48,0,1,0.554511
1,4,2.48,0,1,0.609823
1,2.48,2.48,1,0,0.720167
1,0.82,2.48,1,0,0.527982
1,3.41,2.48,0,1,0.87458
1,0,2.48,1,0,0.595086
1,1.32,2.48,1,0,0.556091
1,0,2.48,1,0,0.601459
1,1.75,2.48,1,0,0.625901
1,2.48,2.48,0,1,0.757904
1,0.82,2.48,1,0,0.511108
1,4,2.48,0,1,0.563947
1,2.12,2.48,1,0,0.585926
1,2.91,2.48,1,0,0.72714
1,0.25,2.91,1,0,0.525326
1,3.41,2.91,0,1,0.56321
1,0.82,2.91,1,0,0.699756
1,0,2.91,1,0,0.746183
1,1.75,2.91,1,0,0.516162
1,2.12,2.91,1,0,0.645459
1,4,2.91,0,1,0.594732
1,0.25,2.91,1,0,0.54024
1,1.75,2.91,1,0,0.561314
1,0.82,2.91,1,0,0.515904
1,2.48,2.91,0,1,0.555208
1,2.91,2.91,0,1,0.526498
1,1.32,2.91,1,0,0.69522
1,3.41,2.91,0,1,0.53386
1,4,2.91,0,1,0.797772
1,3.41,3.41,0,1,0.68833
1,1.75,3.41,0,1,0.551755
1,2.91,3.41,1,0,0.547579
1,0.82,3.41,1,0,0.72608
1,2.48,3.41,0,1,0.577273
1,4,3.41,0,1,0.615755
1,0,3.41,1,0,0.616964
1,2.12,3.41,0,1,0.65496
1,0.25,3.41,1,0,0.540968
1,0.82,3.41,1,0,0.518163
1,0,3.41,1,0,0.53718
1,2.12,3.41,0,1,0.771269
1,2.91,3.41,0,1,0.531905
1,1.32,3.41,1,0,0.559005
1,4,3.41,0,1,0.580265
1,1.75,3.41,1,0,0.528889
1,2.48,3.41,1,0,0.572025
1,3.41,3.41,0,1,0.540432
1,3.41,4,0,1,0.740001
1,0.25,4,1,0,0.634252
1,1.75,4,1,0,0.796216
1,1.32,4,1,0,0.614523
1,2.91,4,0,1,0.653391
1,2.12,4,0,1,0.543781
1,2.48,4,1,0,0.622352
1,3.41,4,0,1,0.534308
1,4,4,0,1,0.769656
1,0.25,4,1,0,0.632667
1,0.82,4,1,0,0.556545
1,0,4,0,1,1.093142
1,2.12,4,1,0,0.565988
1,1.75,4,1,0,0.518747
1,2.48,4,0,1,0.596496
1,2.12,0.25,1,0,1.410436
1,3.41,0.25,0,1,0.764839
1,1.75,0.25,1,0,1.019474
1,0.25,0.25,1,0,0.615947
1,4,0.25,0,1,1.369252
1,2.48,0.25,1,0,0.904438
1,0.82,0.25,1,0,0.519885
1,2.91,0.25,0,1,0.771462
1,1.75,0.25,1,0,0.737273
1,1.32,0.25,1,0,0.75023
1,3.41,0.25,0,1,1.17963
1,0,0.25,1,0,0.735741
1,2.91,0.25,0,1,0.713422
1,2.48,0.25,0,1,0.55346
1,4,0.25,0,1,0.527197
1,1.32,0.25,0,1,0.690638
1,0,0.25,1,0,0.717918
1,1.32,0.82,1,0,0.585119
1,2.48,0.82,0,1,0.583711
1,3.41,0.82,1,0,0.568433
1,0.25,0.82,1,0,0.705649
1,2.91,0.82,0,1,0.782336
1,4,0.82,1,0,1.258687
1,0,0.82,1,0,1.310771
1,2.12,0.82,1,0,0.671315
1,0.82,0.82,1,0,0.557234
1,1.75,0.82,1,0,0.600868
1,2.48,0.82,1,0,0.59869
1,0.82,0.82,1,0,0.626281
1,4,0.82,0,1,0.562318
1,1.75,0.82,1,0,0.584103
1,3.41,0.82,0,1,0.568712
1,1.32,0.82,1,0,0.563946
1,0.25,0.82,1,0,0.578505
1,4,0.82,0,1,0.564806
1,1.75,0.82,1,0,0.550043
1,0,0.82,1,0,0.557922
1,2.48,1.32,0,1,0.718564
1,0.82,1.32,1,0,0.987773
1,2.12,1.32,1,0,0.766868
1,0,1.32,1,0,1.108808
1,3.41,1.32,0,1,0.885505
1,4,1.32,0,1,0.630798
1,2.91,1.32,1,0,0.920599
1,1.32,1.32,1,0,0.563024
1,1.75,1.32,1,0,0.56506
1,0.25,1.32,1,0,0.547485
1,4,1.32,1,0,0.734041
1,2.48,1.32,1,0,0.731997
1,2.91,1.32,1,0,0.612519
1,2.12,1.32,1,0,0.592356
1,1.32,1.32,1,0,0.966975
1,0.25,1.32,1,0,0.52453
1,3.41,1.32,0,1,0.523108
1,4,1.32,0,1,0.608368
1,2.91,1.32,0,1,0.601422
1,0.25,1.75,1,0,0.648989
1,1.75,1.75,1,0,0.675384
1,1.32,1.75,1,0,0.64737
1,2.91,1.75,1,0,0.695939
1,2.48,1.75,1,0,0.787287
1,0.82,1.75,1,0,0.915829
1,3.41,1.75,1,0,0.615196
1,0,1.75,1,0,0.524935
1,2.48,1.75,1,0,0.636544
1,4,1.75,1,0,0.527109
1,1.75,1.75,0,1,0.515616
