rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,4,-1,0,1,0.553098
1,0.25,-1,1,0,0.692309
1,1.75,-1,1,0,0.673559
1,2.91,-1,0,1,0.704125
1,0.82,-1,1,0,0.578802
1,2.48,-1,0,1,0.69205
1,1.32,-1,1,0,0.721871
1,2.12,-1,1,0,0.7125
1,2.12,-1,1,0,0.590266
1,4,-1,0,1,0.868225
1,0.25,-1,1,0,0.514437
1,0.82,-1,1,0,0.567091
1,1.75,-1,0,1,1.286197
1,2.48,-1,0,1,0.552171
1,3.41,-1,0,1,0.590728
1,2.48,-1,1,0,0.980666
1,2.48,-1,0,1,0.570783
1,1.75,-1,1,0,1.081961
1,1.75,-1,1,0,0.754041
1,2.48,-1,1,0,0.583317
1,1.32,-1,1,0,0.754583
1,2.91,-1,0,1,0.845241
1,0.25,-1,1,0,0.781231
1,4,-1,0,1,0.755179
1,2.12,-1,0,1,0.553506
1,3.41,-1,0,1,0.579284
1,3.41,-1,0,1,0.706006
1,4,-1,0,1,0.746393
1,2.91,-1,0,1,0.837703
1,1.75,-1,0,1,0.519732
1,3.41,-1,0,1,0.675018
1,0.25,-1,1,0,0.624241
1,1.32,-1,1,0,0.544753
1,2.12,-1,1,0,1.112243
1,2.12,-1,0,1,0.926164
1,2.91,-1,0,1,0.59142
1,1.75,-1,1,0,0.560741
1,4,-1,0,1,0.535362
1,0.25,-1,1,0,0.631328
1,0.82,-1,1,0,0.611254
1,1.32,-1,1,0,0.554607
1,2.48,-1,1,0,0.848391
1,0.82,-1,1,0,0.521592
1,0.82,-1,1,0,0.681572
1,4,-1,0,1,0.693551
1,1.32,-1,1,0,0.716177
1,1.32,-1,1,0,0.564153
1,3.41,-1,0,1,0.548006
1,2.48,-1,0,1,0.676059
1,1.32,-1,1,0,0.65516
1,3.41,-1,0,1,0.715057
1,0.25,-1,1,0,0.680373
1,0.82,-1,1,0,0.540999
1,1.75,-1,1,0,0.564253
1,2.91,-1,0,1,0.967389
1,3.41,-1,0,1,0.609384
1,1.75,-1,0,1,0.826592
1,2.91,-1,1,0,0.736823
1,2.48,-1,0,1,0.625991
1,3.41,-1,0,1,0.662335
1,2.48,-1,0,1,0.718092
1,0.82,-1,1,0,0.522755
1,0.25,-1,1,0,0.726074
1,2.48,-1,0,1,0.600016
1,3.41,-1,0,1,0.985329
1,0.25,-1,1,0,0.871298
1,2.91,-1,0,1,0.717814
1,4,-1,0,1,0.580524
1,0.25,-1,1,0,0.588673
1,4,-1,0,1,0.633115
1,1.75,-1,0,1,0.707656
1,4,-1,0,1,0.714328
1,1.75,-1,1,0,0.605007
1,2.12,-1,1,0,0.987668
1,3.41,-1,0,1,0.776749
1,2.48,-1,1,0,0.676037
1,0.25,-1,1,0,0.605589
1,1.75,-1,0,1,0.590911
1,2.48,-1,0,1,0.668288
1,1.75,-1,1,0,1.596874
1,2.12,-1,1,0,0.925379
1,3.41,-1,0,1,0.679292
1,0.25,-1,1,0,0.745214
1,2.48,-1,0,1,0.680633
1,2.12,-1,0,1,0.875198
1,2.91,-1,1,0,0.719361
1,0.82,-1,1,0,0.513096
1,3.41,-1,0,1,0.74365
1,4,-1,0,1,0.555712
1,4,-1,0,1,0.516268
1,2.12,-1,0,1,0.850775
1,2.91,-1,1,0,0.597431
1,2.48,-1,0,1,0.616719
1,1.32,-1,1,0,0.805824
1,1.32,-1,1,0,0.520026
1,0.82,-1,1,0,0.791157
1,0.25,-1,1,0,0.678496
1,3.41,-1,0,1,0.633691
1,0.25,-1,1,0,0.61562
1,3.41,-1,0,1,0.777037
1,1.75,-1,1,0,0.788958
1,1.32,-1,1,0,0.744876
1,2.12,-1,0,1,0.687398
1,4,-1,0,1,0.602107
1,0.25,-1,1,0,0.64735
1,0.82,-1,1,0,0.58135
1,3.41,-1,0,1,0.670398
1,4,-1,0,1,0.697739
1,1.32,-1,1,0,0.835042
1,2.12,-1,1,0,0.811549
1,1.32,-1,1,0,0.669727
1,0.25,-1,1,0,0.63679
1,2.12,-1,0,1,0.884879
1,2.91,-1,0,1,0.652081
1,4,-1,0,1,0.582615
1,3.41,-1,0,1,0.573821
1,0.82,-1,1,0,0.547809
1,2.48,-1,0,1,0.779806
1,4,-1,0,1,0.569927
1,0.25,-1,1,0,0.661733
1,1.32,-1,1,0,0.609512
1,1.32,-1,1,0,0.542171
1,2.91,-1,1,0,0.660718
1,0.25,-1,1,0,0.535457
1,0.25,-1,1,0,0.640678
1,1.32,-1,1,0,0.794692
1,1.75,-1,1,0,1.099244
1,3.41,-1,0,1,0.569781
1,2.12,-1,0,1,0.565037
1,4,-1,0,1,0.675619
1,4,-1,0,1,0.584254
1,2.12,-1,0,1,0.679635
1,0.82,-1,1,0,0.636129
1,3.41,-1,0,1,0.63252
1,1.75,-1,1,0,0.573092
1,2.48,-1,0,1,0.559716
1,0.25,-1,1,0,0.597028
1,2.48,-1,1,0,1.263625
1,0.82,-1,1,0,0.531567
1,1.32,-1,1,0,0.515635
1,3.41,-1,0,1,0.518238
1,0.82,-1,1,0,0.529473
1,4,-1,0,1,0.637716
1,2.48,-1,1,0,0.875236
1,0.82,-1,1,0,0.560551
1,3.41,-1,0,1,0.666323
1,2.48,-1,0,1,0.525007
1,0.82,-1,1,0,1.058255
1,4,-1,0,1,0.5395
1,0.82,-1,1,0,0.518112
1,2.91,-1,1,0,0.619409
1,1.75,-1,0,1,0.612034
1,3.41,-1,0,1,0.69272
1,0.82,-1,1,0,0.612667
1,2.12,-1,0,1,0.597982
1,2.12,-1,0,1,0.723232
1,4,-1,0,1,0.7379
1,2.48,-1,0,1,0.714925
1,1.75,-1,0,1,0.645646
1,2.91,-1,0,1,1.132311
1,2.48,-1,0,1,0.65789
1,2.91,-1,0,1,0.659606
1,1.75,-1,0,1,0.764208
1,4,-1,0,1,0.69681
1,0.82,-1,1,0,0.560732
1,0.25,-1,1,0,0.601364
1,0.82,-1,1,0,1.215764
1,1.75,-1,1,0,0.859009
1,0.82,-1,1,0,1.022954
1,3.41,-1,0,1,0.773601
1,2.48,-1,0,1,0.639499
1,1.75,-1,1,0,0.665369
1,2.12,-1,1,0,1.147279
1,3.41,-1,0,1,0.728666
1,2.48,-1,0,1,0.775342
1,1.75,-1,1,0,0.76056
1,2.48,-1,0,1,0.700538
1,2.12,-1,1,0,0.865737
1,3.41,-1,0,1,0.639712
1,2.91,-1,0,1,0.674325
1,0.25,-1,1,0,0.551448
1,2.12,-1,0,1,0.705403
1,1.75,-1,1,0,0.873313
1,4,-1,0,1,1.187107
1,3.41,-1,0,1,0.688595
1,2.12,-1,1,0,0.824319
1,1.75,-1,0,1,0.614295
1,4,-1,0,1,0.69475
1,0.82,-1,1,0,0.513926
1,0.25,-1,1,0,0.570657
1,1.32,-1,1,0,0.563881
1,4,-1,0,1,0.531161
1,2.91,-1,0,1,0.628356
1,2.91,-1,1,0,0.974224
1,2.12,-1,1,0,1.64224
