rat_ID,Vis_TFs,Aud_TFs,resp_low_TF,resp_high_TF,RT
1,1.32,0,0,1,0.64421
1,2.48,0,0,1,0.650614
1,2.48,0,0,1,0.540039
1,1.75,0,0,1,0.552836
1,4,0,0,1,0.55052
1,1.32,0,1,0,0.553076
1,0,0,1,0,0.602298
1,0.25,0,1,0,0.548071
1,1.75,0,1,0,0.584349
1,2.48,0,0,1,0.571046
1,3.41,0,0,1,0.626911
1,4,0,0,1,0.528855
1,0.25,0,1,0,0.53743
1,0,0,1,0,0.516253
1,1.32,0,1,0,0.657527
1,0.82,0,1,0,0.523533
1,2.12,0,1,0,1.01796
1,0.82,0,1,0,0.55425
1,2.48,0,0,1,0.53401
1,3.41,0,0,1,0.673193
1,0.25,0,1,0,0.526631
1,4,0,0,1,0.530265
1,2.12,0,1,0,0.541518
1,1.75,0,0,1,0.691955
1,1.32,0,0,1,0.609881
1,0.82,0,1,0,0.53026
1,3.41,0,1,0,0.540627
1,0,0,0,1,0.762617
1,1.75,0,0,1,0.598675
1,0.25,0,1,0,0.584131
1,2.12,0,1,0,0.550734
1,4,0,0,1,0.565359
1,0,0,1,0,0.668003
1,2.91,0,0,1,0.588696
1,0.82,0,1,0,0.639959
1,2.48,0,0,1,0.608636
1,3.41,0,1,0,0.651885
1,1.32,0,1,0,0.839254
1,0.25,0,1,0,0.599733
1,1.75,0,1,0,0.735812
1,2.91,0,0,1,0.592278
1,2.12,0,1,0,0.73654
1,2.48,0,0,1,0.529867
1,0.25,0,1,0,0.646975
1,3.41,0,0,1,0.515441
1,1.75,0,1,0,0.633061
1,1.32,0,1,0,0.675074
1,0,0,1,0,1.301572
1,1.32,0,1,0,0.576633
1,0.25,0,1,0,0.568057
1,2.91,0,0,1,0.679074
1,4,0,0,1,0.583622
1,0.82,0,1,0,0.667576
1,2.12,0,1,0,0.646326
1,0,0,0,1,0.689543
1,3.41,0,1,0,0.632801
1,1.75,0,1,0,0.536722
1,0.82,0,1,0,0.532882
1,0.25,0,1,0,0.550985
1,2.12,0,1,0,0.587022
1,2.48,0,1,0,0.530914
1,1.32,0,1,0,0.535206
1,3.41,0,0,1,0.588172
1,1.75,0,1,0,0.647774
1,2.91,0,1,0,0.533136
1,1.75,0,1,0,1.081394
1,2.48,0,1,0,0.812923
1,2.91,0,0,1,0.642236
1,2.12,0,1,0,0.772791
1,0.25,0,1,0,0.558097
1,1.32,0,1,0,0.6813
1,2.48,0,1,0,0.518482
1,1.75,0,1,0,0.607599
1,4,0,0,1,0.634319
1,2.91,0,0,1,0.648773
1,1.32,0,1,0,0.58065
1,0.82,0,1,0,0.557063
1,0.25,0,1,0,0.578396
1,0,0,1,0,0.708383
1,2.48,0,1,0,0.62167
1,0.82,0,1,0,0.766989
1,0.25,0,1,0,0.53874
1,1.75,0,0,1,1.03805
1,0,0,1,0,0.771916
1,1.32,0,1,0,0.513234
1,4,0,0,1,0.660567
1,4,0,0,1,0.523148
1,0.25,0,1,0,0.531782
1,0,0,1,0,0.703057
1,2.48,0,0,1,0.645643
1,2.12,0,1,0,0.593349
1,2.91,0,1,0,0.552066
1,3.41,0,0,1,0.543797
1,1.32,0,1,0,0.641185
1,4,0,0,1,0.598099
1,1.75,0,1,0,0.516019
1,2.91,0,0,1,0.643959
1,2.12,0,1,0,0.713739
1,0.25,0,1,0,0.747803
1,0.82,0,1,0,1.259626
1,1.32,0,1,0,0.751932
1,0,0,1,0,0.52792
1,3.41,0,0,1,0.577513
1,2.12,0,1,0,0.609552
1,2.48,0,0,1,0.694118
1,2.91,0,0,1,0.636923
1,0.25,0,1,0,0.528037
1,4,0,0,1,0.921332
1,3.41,0,0,1,0.545177
1,2.91,0,0,1,0.561073
1,1.75,0,1,0,0.665131
1,0.82,0,1,0,0.630433
1,4,0,0,1,0.775805
1,0,0,1,0,1.682253
1,1.75,0,1,0,0.607544
1,3.41,0,0,1,0.791467
1,1.32,0,1,0,0.520163
1,2.91,0,1,0,0.77603
1,2.48,0,1,0,0.893807
1,2.91,0,0,1,0.750829
1,1.32,0,0,1,0.525509
1,0.25,0,1,0,0.587407
1,3.41,0,0,1,0.615281
1,2.48,0,0,1,0.637552
1,2.12,0,1,0,0.519446
1,4,0,0,1,0.548664
1,2.91,0,0,1,0.540688
1,0.25,0,1,0,0.76271
1,1.32,0,1,0,0.717306
1,0,0,1,0,0.588484
1,4,0,0,1,0.598891
1,2.12,0,0,1,0.88413
1,0.82,0,1,0,0.802744
1,3.41,0,1,0,0.635883
1,2.12,0,1,0,0.640222
1,2.91,0,0,1,0.614495
1,0,0,1,0,0.516396
1,4,0,0,1,0.548301
1,1.32,0,0,1,0.671585
1,4,0,0,1,0.606524
1,2.48,0,0,1,0.921208
1,1.32,0,1,0,0.562849
1,3.41,0,0,1,0.557476
1,2.91,0,0,1,0.648694
1,1.75,0,0,1,0.741964
1,2.48,0,1,0,0.598473
1,3.41,0,0,1,0.598394
1,0,0,1,0,0.549721
1,1.32,0,1,0,0.715026
1,0.25,0,1,0,0.562294
1,2.12,0,0,1,0.642145
1,0.82,0,1,0,0.532078
1,2.91,0,0,1,0.631986
1,4,0,0,1,0.542276
1,0.82,0,1,0,0.665484
1,0.25,0,0,1,0.525823
1,2.12,0,1,0,0.55323
1,1.75,0,1,0,0.737951
1,2.48,0,1,0,0.849722
1,2.91,0,0,1,0.830392
1,1.32,0,1,0,0.782909
1,1.32,0,1,0,0.54818
1,2.12,0,0,1,0.623328
1,1.75,0,1,0,1.121928
1,0.82,0,1,0,0.532398
1,0,0,1,0,0.544947
1,4,0,0,1,0.58102
1,2.91,0,1,0,0.570199
1,2.12,0,1,0,0.562168
1,3.41,0,0,1,0.659158
1,1.32,0,1,0,0.700786
1,0.82,0,1,0,0.579904
1,2.48,0,0,1,0.698441
1,2.91,0,1,0,0.531807
1,0.25,0,1,0,0.519767
